                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0249,                 3.9066,                 4.0661,                0.12181,                0.15133,                0.07398,                0.02334,                 2.2693,                 3.5221,                  3.447,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.5188,                 1.7588,                 2.1631,                0.34464,                0.25196,                0.23902,                0.11195,                 1.8395,                 2.6604,                  2.692,              0.0066411,              0.0066411,              0.0066411
                      3,                0.91269,                0.98492,                 1.4654,                0.52805,                0.29896,                0.35235,                0.18984,                  1.633,                 2.0713,                 2.2956,              0.0099304,              0.0099304,              0.0099304
                      4,                0.74204,                0.77395,                 1.2966,                0.48838,                0.38496,                0.40609,                0.22776,                 1.4667,                 1.9465,                 2.1278,               0.009901,               0.009901,               0.009901
                      5,                0.63315,                 0.6525,                 1.2054,                0.45092,                0.47784,                 0.4494,                0.27877,                 1.4065,                 1.7095,                 2.0337,               0.009868,               0.009868,               0.009868
                      6,                0.55654,                0.57689,                 1.1393,                0.51388,                0.47569,                0.50578,                0.31291,                 1.3622,                 1.5885,                 1.9463,               0.009835,               0.009835,               0.009835
                      7,                0.50266,                0.53268,                 1.0978,                 0.6255,                0.50861,                0.56252,                0.35883,                 1.2981,                 1.4718,                 1.8856,               0.009802,               0.009802,               0.009802
                      8,                0.47364,                0.49774,                 1.0764,                0.57391,                0.54443,                0.58158,                0.39912,                 1.2093,                 1.3638,                 1.8046,               0.009769,               0.009769,               0.009769
                      9,                0.44277,                0.46464,                 1.0556,                0.63979,                  0.554,                0.62039,                0.41631,                 1.1971,                 1.2972,                 1.8176,               0.009736,               0.009736,               0.009736
                     10,                0.41975,                 0.4444,                 1.0422,                0.69637,                0.57345,                0.65586,                0.45983,                 1.1245,                 1.1805,                 1.6987,               0.009703,               0.009703,               0.009703
                     11,                0.40191,                0.42333,                 1.0292,                0.65198,                0.61341,                0.66545,                0.48251,                 1.0541,                 1.1381,                 1.6299,                0.00967,                0.00967,                0.00967
                     12,                0.38661,                0.40256,                  1.019,                0.68791,                 0.6051,                0.69044,                0.49235,                 1.0886,                 1.1072,                 1.6782,               0.009637,               0.009637,               0.009637
                     13,                0.37503,                0.39174,                 1.0068,                0.66739,                  0.627,                0.70027,                0.51513,                 1.0352,                 1.0746,                 1.6137,               0.009604,               0.009604,               0.009604
                     14,                0.36505,                0.37892,                 1.0048,                0.72588,                0.60328,                0.69713,                0.52078,                 1.0266,                 1.0807,                 1.5997,               0.009571,               0.009571,               0.009571
                     15,                0.35233,                0.36727,                0.99495,                0.73801,                0.64568,                0.73228,                0.55965,                0.96167,                0.96727,                 1.5235,               0.009538,               0.009538,               0.009538
                     16,                0.33935,                 0.3551,                0.98567,                 0.7452,                0.65434,                   0.74,                0.55937,                 0.9449,                0.92561,                 1.5084,               0.009505,               0.009505,               0.009505
                     17,                0.32969,                 0.3449,                0.98068,                0.79405,                0.67281,                0.77081,                0.59419,                0.93276,                0.88656,                 1.5216,               0.009472,               0.009472,               0.009472
                     18,                0.32562,                0.33825,                0.97925,                0.79169,                0.69824,                0.77785,                0.59562,                0.91725,                0.88402,                 1.4854,               0.009439,               0.009439,               0.009439
                     19,                0.32013,                0.33156,                0.97521,                0.72324,                0.70019,                  0.762,                0.59766,                0.88708,                0.86448,                 1.4541,               0.009406,               0.009406,               0.009406
