                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0627,                 3.3253,                 3.7849,                0.10114,                0.16941,                0.05847,                0.02001,                 2.3273,                 3.6764,                  3.328,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.7168,                 1.8668,                 2.3397,                0.33326,                 0.2896,                0.24955,                0.10949,                  1.995,                 2.7402,                 2.8547,              0.0066411,              0.0066411,              0.0066411
                      3,                 1.1912,                 1.2513,                 1.7462,                0.39644,                0.28897,                0.28128,                0.13544,                 1.8165,                 2.3536,                 2.6376,              0.0099304,              0.0099304,              0.0099304
                      4,                0.97012,                 0.9489,                 1.5035,                0.44342,                0.31467,                0.29543,                0.15477,                 1.6964,                  2.176,                 2.4685,               0.009901,               0.009901,               0.009901
                      5,                0.84502,                0.78874,                 1.3816,                0.44833,                0.43429,                0.42236,                0.23712,                  1.625,                 1.8054,                 2.3241,               0.009868,               0.009868,               0.009868
                      6,                0.76976,                0.70603,                 1.3109,                0.46366,                0.44863,                0.43367,                0.25182,                 1.5997,                 1.7474,                 2.2605,               0.009835,               0.009835,               0.009835
                      7,                 0.7154,                 0.6511,                 1.2647,                0.58033,                0.44408,                0.51009,                 0.3051,                 1.5251,                 1.5905,                 2.1818,               0.009802,               0.009802,               0.009802
                      8,                0.68607,                0.61884,                 1.2354,                0.57487,                0.47699,                0.51826,                0.30994,                 1.4987,                 1.5294,                 2.1519,               0.009769,               0.009769,               0.009769
                      9,                0.65554,                0.58893,                  1.214,                0.56569,                0.46326,                  0.502,                0.29842,                 1.4758,                 1.5456,                 2.1179,               0.009736,               0.009736,               0.009736
                     10,                0.62944,                 0.5684,                 1.1933,                0.58277,                0.47524,                0.52428,                0.31681,                 1.4426,                 1.5422,                 2.0892,               0.009703,               0.009703,               0.009703
                     11,                0.61268,                0.54475,                 1.1783,                0.57796,                0.49018,                0.54398,                0.33728,                 1.4163,                 1.4527,                 2.0195,                0.00967,                0.00967,                0.00967
                     12,                0.59172,                0.52706,                 1.1595,                0.56299,                0.45175,                0.51762,                 0.3319,                 1.3681,                 1.4878,                 1.9742,               0.009637,               0.009637,               0.009637
                     13,                0.57347,                0.51151,                 1.1505,                0.59048,                0.56761,                0.59518,                0.38314,                 1.3264,                 1.3358,                 1.9566,               0.009604,               0.009604,               0.009604
                     14,                0.56358,                0.49859,                 1.1397,                0.58144,                0.57523,                0.59938,                0.39082,                 1.3165,                 1.3025,                 1.9065,               0.009571,               0.009571,               0.009571
                     15,                0.54722,                0.48535,                 1.1226,                0.60452,                0.57345,                0.61553,                 0.3976,                  1.305,                 1.2826,                 1.8982,               0.009538,               0.009538,               0.009538
                     16,                0.53901,                0.47886,                 1.1174,                0.72255,                 0.5477,                0.64891,                0.42016,                 1.2554,                 1.2341,                 1.8486,               0.009505,               0.009505,               0.009505
                     17,                  0.526,                0.46868,                 1.1068,                0.58093,                 0.5901,                0.63627,                 0.4098,                 1.2637,                 1.2614,                 1.8615,               0.009472,               0.009472,               0.009472
                     18,                0.51591,                0.45595,                 1.0982,                0.69958,                0.57013,                0.66325,                0.45278,                 1.2337,                 1.1409,                 1.8123,               0.009439,               0.009439,               0.009439
                     19,                0.51116,                0.45265,                 1.0966,                0.63513,                0.59212,                0.65811,                0.45111,                 1.2179,                 1.2024,                 1.7785,               0.009406,               0.009406,               0.009406
                     20,                0.50181,                0.44495,                 1.0877,                0.61531,                0.65423,                0.66361,                0.44368,                 1.2115,                 1.1504,                 1.8004,               0.009373,               0.009373,               0.009373
                     21,                0.49822,                0.43862,                 1.0834,                0.69687,                0.61723,                0.69366,                0.48226,                 1.1929,                 1.1151,                 1.7859,                0.00934,                0.00934,                0.00934
                     22,                0.49207,                0.43151,                 1.0804,                0.67058,                 0.6322,                0.67829,                0.46542,                 1.1928,                 1.1136,                 1.7763,               0.009307,               0.009307,               0.009307
