                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8464,                 3.5639,                 3.8116,                0.18879,                0.19442,                0.10426,                0.03585,                 2.2814,                 3.3625,                 3.4426,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.6098,                 1.9099,                  2.336,                0.31243,                0.32434,                0.23762,                 0.1172,                 1.8234,                 2.5398,                 2.7084,              0.0066411,              0.0066411,              0.0066411
                      3,                 1.0382,                  1.142,                 1.6494,                0.34974,                0.44533,                0.35535,                  0.176,                 1.7014,                 2.1575,                 2.4333,              0.0099304,              0.0099304,              0.0099304
                      4,                0.82377,                 0.8698,                 1.4165,                0.47112,                0.41197,                0.40546,                0.22982,                 1.5739,                 2.0031,                 2.3011,               0.009901,               0.009901,               0.009901
                      5,                0.71011,                0.72052,                 1.2997,                0.50307,                0.43475,                0.45885,                0.26881,                 1.5364,                 1.8212,                  2.238,               0.009868,               0.009868,               0.009868
                      6,                0.63782,                0.64199,                 1.2316,                0.52085,                0.44802,                 0.4776,                0.28156,                 1.5084,                 1.7607,                 2.2025,               0.009835,               0.009835,               0.009835
                      7,                0.58979,                  0.596,                  1.189,                0.49773,                0.50039,                0.51241,                0.29545,                 1.5458,                 1.6456,                 2.2107,               0.009802,               0.009802,               0.009802
                      8,                0.55437,                0.55963,                 1.1555,                0.57671,                0.48838,                0.50832,                0.30758,                 1.4501,                 1.6685,                 2.1211,               0.009769,               0.009769,               0.009769
                      9,                0.52765,                0.52631,                 1.1333,                0.60065,                0.54791,                0.57604,                0.37026,                 1.3346,                 1.4748,                 1.9717,               0.009736,               0.009736,               0.009736
                     10,                0.50318,                0.50597,                 1.1137,                0.62767,                0.53732,                0.59987,                0.40698,                 1.2459,                 1.3694,                 1.8443,               0.009703,               0.009703,               0.009703
                     11,                0.48258,                0.48425,                 1.0969,                0.63624,                0.55819,                0.61995,                0.42498,                 1.2141,                 1.2962,                 1.8116,                0.00967,                0.00967,                0.00967
                     12,                0.46566,                0.46401,                 1.0812,                0.64117,                0.60878,                0.66498,                0.45661,                 1.1934,                 1.2417,                 1.7923,               0.009637,               0.009637,               0.009637
